customer_id,first_name,last_name,email,street,city,state,country
0,Brooke,Hernandez,ojohnson@example.org,9768 Hernandez Springs Suite 303,Hartmanville,Vermont,Aruba
1,Elijah,Kaiser,annaritter@example.org,943 Jones Junctions Apt. 776,East Andrea,South Dakota,Antigua and Barbuda
2,Chris,Fowler,edwardssteve@example.net,917 Tara Mews Apt. 322,East Gregorystad,New Hampshire,Burundi
3,Allen,Durham,paceerica@example.net,171 Selena Mountain Suite 190,Lake Ericfurt,Nebraska,Cayman Islands
4,Matthew,Soto,kimberlytaylor@example.org,513 Thompson Groves,Kellyton,Alaska,Comoros
5,Cody,Hall,caitlinwalsh@example.com,98128 Wood Flat,West Karen,Louisiana,Jordan
6,John,Garcia,dacevedo@example.com,421 Davis Terrace,New Janetside,Massachusetts,Iraq
7,Melissa,Ray,morganevans@example.org,15403 Christopher Circles,South Emilyton,Nevada,Kenya
8,Denise,Wilson,jwebster@example.com,126 Thomas Forest Suite 208,Port Richardfurt,New Mexico,New Zealand
9,Breanna,Horn,christierobinson@example.org,5280 Patton Circle Suite 238,Kimberlybury,Michigan,Niger
10,Steven,Ward,muellermegan@example.org,073 Kristen Station,New Michael,Colorado,Ethiopia
11,Robert,Lozano,jenniferbrown@example.net,135 Brittany Bridge,Lake Andreaside,New Jersey,Barbados
12,Ronald,King,baileyfelicia@example.com,57527 Tiffany Square Apt. 621,Collinsmouth,Mississippi,Eritrea
13,Deanna,Hopkins,tsexton@example.net,258 Pittman Stream Suite 017,Kennethbury,Massachusetts,Ukraine
14,Courtney,Murray,carolynsnyder@example.net,9843 Philip Camp Apt. 774,New Joseburgh,Montana,British Virgin Islands
15,Jeff,Barnes,cindy19@example.com,13160 Sarah Corner,Davisburgh,Wyoming,New Caledonia
16,Kristen,Perez,cgardner@example.net,42645 Gill Canyon,Hudsonport,Delaware,Madagascar
17,John,York,kenneth73@example.net,7254 Danielle Knoll,East Robin,Wyoming,Central African Republic
18,Tonya,Harrison,keith66@example.net,617 Alexis Stream,Tamaraton,Washington,Kenya
19,Pamela,Contreras,elizabethvelasquez@example.org,262 Black Corners,Matthewchester,Montana,Slovenia
20,Karen,Willis,rodney68@example.com,60919 Nolan Estates Apt. 304,East Patricia,Alaska,Guinea
21,Kimberly,Torres,damonperez@example.net,002 Mitchell Street Apt. 004,Robertburgh,Montana,Ghana
22,Logan,Robinson,jordansmith@example.org,6529 Katie Camp,Gordontown,Alaska,Iran
23,Frederick,Allen,gmartinez@example.org,64726 Rebecca Shores,North Andres,Minnesota,Congo
24,Mary,Edwards,hamiltonpenny@example.com,0202 Spencer Fork Apt. 994,New Hollyside,Idaho,Congo
25,Erin,Morgan,jesus45@example.org,13373 Cox Track,Stevenmouth,Ohio,Gabon
26,John,Evans,ireyes@example.net,15959 Jessica Pass Suite 215,Longville,Maryland,Myanmar
27,Benjamin,Jones,heather04@example.net,865 Johnson Hill,West Taylor,Tennessee,Syrian Arab Republic
28,Douglas,Wilkins,shensley@example.net,72149 Padilla Park,Tiffanyburgh,Vermont,Cameroon
29,Ashley,Burton,abeck@example.net,1567 Mclaughlin Garden,Kellyfurt,Oregon,Cape Verde
30,James,Rodriguez,williamjohnson@example.net,1057 Flores Parks,Harrisberg,Alaska,Botswana
31,Jeremy,Harris,longmichelle@example.com,48389 Turner Ridges Apt. 640,North Bryanborough,Idaho,Bermuda
32,Roy,Herrera,hclay@example.org,200 Jack Summit,Rothport,Rhode Island,Guinea
33,Tamara,Schneider,matthewfoster@example.org,274 Woodward Canyon,Biancahaven,California,Seychelles
34,Lindsey,Baker,yhull@example.net,3835 Johnson Land Suite 190,Clarkeville,Tennessee,Azerbaijan
35,Natalie,Bradley,roberthart@example.com,3645 Baker Inlet Suite 830,Mariaborough,Washington,Vietnam
36,Tiffany,Mendoza,jennifer81@example.com,375 Stephanie Meadow Suite 482,Smithside,West Virginia,Honduras
37,Michele,Blevins,michael38@example.org,2966 Owen Tunnel Suite 461,Clarkchester,Utah,Holy See (Vatican City State)
38,Misty,Fry,stevegordon@example.com,5426 Kristin River Suite 947,Leonardland,Wisconsin,Finland
39,Mary,Whitaker,qwilson@example.org,3393 Amy Common,South Dianamouth,Wisconsin,Paraguay
40,Sarah,Bradford,alvareznatalie@example.org,31637 Stephanie Lodge,Danielburgh,Indiana,Sudan
41,Aaron,Adams,christopher85@example.org,78433 Duncan Flat,East Carol,Utah,Uganda
42,Kayla,Garcia,chris35@example.com,27399 Jones Ridge Apt. 966,Port James,Massachusetts,Libyan Arab Jamahiriya
43,Nicole,Horne,mcguiregregory@example.com,322 James Mission,North Ronnie,Mississippi,Turkmenistan
44,Amanda,Rogers,ramseyjulie@example.org,024 Paula Point Suite 944,East Jonathan,Tennessee,Jordan
45,Kristin,Chandler,vbaker@example.net,900 Morrison Union,Nealtown,Alaska,Bosnia and Herzegovina
46,Michael,Barnes,coxdaniel@example.org,3824 Hale Ville,New Elizabethfurt,Massachusetts,Kenya
47,Karen,White,robinsonmary@example.net,738 Anthony Drive,East Elizabethfort,Pennsylvania,Germany
48,Robert,Guzman,emmawolfe@example.net,65066 Hoffman Harbors Suite 627,Higginsburgh,Washington,Saint Barthelemy
49,Kenneth,Wright,alexis37@example.net,9442 Courtney Forge,East Mary,Delaware,Latvia
50,Anna,Allen,andrewdixon@example.org,489 Ramos Trace,New Brenda,New Mexico,Finland
51,Charles,Cruz,janice01@example.com,438 Davis Views,New Justin,Nevada,Christmas Island
52,Gregg,Ward,canderson@example.org,686 David Mews Apt. 155,East Anthonyshire,Arkansas,Singapore
53,Kayla,Miles,wramos@example.com,45449 Howard Walk Suite 130,Kyleside,Vermont,Serbia
54,Tim,Barnett,durhamcarrie@example.org,6305 Garrett Trail Suite 517,East Patriciaview,Alaska,Papua New Guinea
